RUC_Patrono,Periodo,Cedula_Empleado,Nombre_Completo,Cargo,Departamento,Tipo_Contrato,Fecha_Ingreso,Salario_Bruto,Deducciones_CSS,Patronal_CSS,Impuesto_Renta_Retenido,Salario_Neto,Estado_Empleado
15523-2-65342 DV 45,1/1/2024,PE-93-886,Empleado_Inv_1,Operario,Operaciones,Temporal,5/15/2023,2345.12,228.65,287.28,117.26,1999.22,Activo
15523-2-65342 DV 45,1/1/2024,PE-64-774,Empleado_Inv_2,Gerente,Finanzas,Indefinido,5/15/2023,1348.25,131.45,165.16,67.41,1149.39,Activo
15523-2-65342 DV 45,1/1/2024,PE-91-349,Empleado_Inv_3,Coordinador,Finanzas,Temporal,5/15/2023,2604.53,253.94,319.06,130.23,2220.36,Activo
15523-2-65342 DV 45,1/1/2024,PE-67-506,Empleado_Inv_4,Coordinador,Operaciones,Por Obra,5/15/2023,2597.98,253.3,318.25,129.9,2214.78,Activo
15523-2-65342 DV 45,1/1/2024,PE-48-947,Empleado_Inv_5,Operario,Finanzas,Por Obra,5/15/2023,3090.35,301.31,378.57,154.52,2634.52,Activo
15523-2-65342 DV 45,1/1/2024,PE-16-966,Empleado_Inv_6,Supervisor,Operaciones,Por Obra,5/15/2023,3095.8,301.84,379.24,154.79,2639.17,Activo
15523-2-65342 DV 45,1/1/2024,PE-92-985,Empleado_Inv_7,Gerente,Tecnologia,Indefinido,5/15/2023,2313.14,225.53,283.36,115.66,1971.95,Activo
15523-2-65342 DV 45,1/1/2024,PE-19-511,Empleado_Inv_8,Operario,Ventas,Indefinido,5/15/2023,1749.33,170.56,214.29,87.47,1491.3,Activo
15523-2-65342 DV 45,1/1/2024,PE-95-147,Empleado_Inv_9,Coordinador,Finanzas,Por Obra,5/15/2023,2139.22,208.57,262.05,106.96,1823.68,Activo
15523-2-65342 DV 45,1/1/2024,PE-40-168,Empleado_Inv_10,Coordinador,Tecnologia,Indefinido,5/15/2023,1851.56,180.53,226.82,92.58,1578.46,Activo
15523-2-65342 DV 45,1/1/2024,PE-48-101,Empleado_Inv_11,Gerente,Ventas,Temporal,5/15/2023,3309.64,322.69,405.43,165.48,2821.47,Activo
15523-2-65342 DV 45,1/1/2024,PE-86-890,Empleado_Inv_12,Analista,Tecnologia,Temporal,5/15/2023,3125.38,304.72,382.86,156.27,2664.39,Activo
15523-2-65342 DV 45,1/1/2024,PE-27-107,Empleado_Inv_13,Gerente,Logistica,Por Obra,5/15/2023,2007.84,195.76,245.96,100.39,1711.68,Activo
15523-2-65342 DV 45,1/1/2024,PE-18-501,Empleado_Inv_14,Operario,Finanzas,Indefinido,5/15/2023,1925.35,187.72,235.86,96.27,1641.36,Activo
8-842-1324 DV 12,1/1/2024,PE-32-835,Empleado_Tec_1,Operario,Operaciones,Por Obra,5/15/2023,1658.58,161.71,203.18,82.93,1413.94,Activo
8-842-1324 DV 12,1/1/2024,PE-37-866,Empleado_Tec_2,Coordinador,Ventas,Indefinido,5/15/2023,3101.41,302.39,379.92,155.07,2643.95,Activo
8-842-1324 DV 12,1/1/2024,PE-78-783,Empleado_Tec_3,Analista,Logistica,Por Obra,5/15/2023,3013.85,293.85,369.2,150.69,2569.31,Activo
8-842-1324 DV 12,1/1/2024,PE-80-132,Empleado_Tec_4,Gerente,Operaciones,Indefinido,5/15/2023,3284.25,320.21,402.32,164.21,2799.82,Activo
8-842-1324 DV 12,1/1/2024,PE-26-665,Empleado_Tec_5,Analista,Tecnologia,Temporal,5/15/2023,2679.25,261.23,328.21,133.96,2284.06,Activo
8-842-1324 DV 12,1/1/2024,PE-94-582,Empleado_Tec_6,Gerente,Operaciones,Indefinido,5/15/2023,1529.89,149.16,187.41,76.49,1304.23,Activo
8-842-1324 DV 12,1/1/2024,PE-82-384,Empleado_Tec_7,Operario,Finanzas,Por Obra,5/15/2023,2156.53,210.26,264.18,107.83,1838.44,Activo
8-842-1324 DV 12,1/1/2024,PE-79-230,Empleado_Tec_8,Operario,Tecnologia,Por Obra,5/15/2023,1378.36,134.39,168.85,68.92,1175.05,Activo
8-842-1324 DV 12,1/1/2024,PE-51-600,Empleado_Tec_9,Coordinador,Tecnologia,Indefinido,5/15/2023,2495.13,243.27,305.65,124.76,2127.09,Activo
8-842-1324 DV 12,1/1/2024,PE-32-877,Empleado_Tec_10,Analista,Ventas,Indefinido,5/15/2023,1862.57,181.6,228.17,93.13,1587.84,Activo
8-842-1324 DV 12,1/1/2024,PE-46-773,Empleado_Tec_11,Coordinador,Operaciones,Indefinido,5/15/2023,3266.39,318.47,400.13,163.32,2784.6,Activo
8-842-1324 DV 12,1/1/2024,PE-57-681,Empleado_Tec_12,Operario,Operaciones,Por Obra,5/15/2023,1279.85,124.79,156.78,63.99,1091.07,Activo
8-842-1324 DV 12,1/1/2024,PE-90-509,Empleado_Tec_13,Supervisor,Finanzas,Indefinido,5/15/2023,938.04,91.46,114.91,0,846.58,Activo
8-842-1324 DV 12,1/1/2024,PE-69-543,Empleado_Tec_14,Analista,Operaciones,Por Obra,5/15/2023,3415.38,333,418.38,170.77,2911.61,Activo
8-842-1324 DV 12,1/1/2024,PE-87-186,Empleado_Tec_15,Supervisor,Tecnologia,Temporal,5/15/2023,1283.24,125.12,157.2,64.16,1093.96,Activo
8-842-1324 DV 12,1/1/2024,PE-68-504,Empleado_Tec_16,Operario,Logistica,Por Obra,5/15/2023,,329.76,414.31,169.11,2883.27,Activo
4-721-985 DV 88,1/1/2024,PE-15-735,Empleado_Agr_1,Gerente,Finanzas,Indefinido,5/15/2023,1229.82,119.91,150.65,61.49,1048.42,Activo
4-721-985 DV 88,1/1/2024,PE-79-529,Empleado_Agr_2,Coordinador,Operaciones,Temporal,5/15/2023,2839.48,276.85,347.84,141.97,2420.66,Activo
4-721-985 DV 88,1/1/2024,PE-12-233,Empleado_Agr_3,Analista,Logistica,Por Obra,5/15/2023,1774.19,172.98,217.34,88.71,1512.5,Activo
4-721-985 DV 88,1/1/2024,PE-15-286,Empleado_Agr_4,Gerente,Tecnologia,Por Obra,5/15/2023,1216.52,118.61,149.02,60.83,1037.09,Activo
4-721-985 DV 88,1/1/2024,PE-49-896,Empleado_Agr_5,Supervisor,Logistica,Indefinido,5/15/2023,2007.65,195.75,245.94,100.38,1711.52,Activo
4-721-985 DV 88,1/1/2024,PE-44-212,Empleado_Agr_6,Coordinador,Operaciones,Por Obra,5/15/2023,3006.82,293.16,368.34,150.34,2563.31,Activo
4-721-985 DV 88,1/1/2024,PE-99-602,Empleado_Agr_7,Gerente,Tecnologia,Indefinido,5/15/2023,3054.59,297.82,374.19,152.73,2604.04,Activo
4-721-985 DV 88,1/1/2024,PE-25-794,Empleado_Agr_8,Gerente,Operaciones,Temporal,5/15/2023,3311.13,322.83,405.61,165.56,2822.74,Activo
4-721-985 DV 88,1/1/2024,PE-46-397,Empleado_Agr_9,Gerente,Tecnologia,Por Obra,5/15/2023,1236.35,120.54,151.45,61.82,1053.98,Activo
4-721-985 DV 88,1/1/2024,PE-14-204,Empleado_Agr_10,Analista,Finanzas,Por Obra,5/15/2023,1570.35,153.11,192.37,78.52,1338.72,Activo
4-721-985 DV 88,1/1/2024,PE-86-245,Empleado_Agr_11,Analista,Ventas,Indefinido,5/15/2023,3192.69,311.29,391.1,159.63,2721.77,Activo
4-721-985 DV 88,1/1/2024,PE-17-572,Empleado_Agr_12,Coordinador,Ventas,Temporal,5/15/2023,3086.41,300.93,378.09,154.32,2631.17,Activo
4-721-985 DV 88,1/1/2024,PE-28-386,Empleado_Agr_13,Supervisor,Tecnologia,Por Obra,5/15/2023,1341.97,130.84,164.39,67.1,1144.03,Activo
4-721-985 DV 88,1/1/2024,PE-20-565,Empleado_Agr_14,Coordinador,Tecnologia,Por Obra,5/15/2023,3346.67,326.3,409.97,167.33,2853.04,Activo
4-721-985 DV 88,1/1/2024,PE-10-150,Empleado_Agr_15,Supervisor,Ventas,Por Obra,5/15/2023,1289.69,125.74,157.99,64.48,1099.46,Activo
4-721-985 DV 88,1/1/2024,PE-37-818,Empleado_Agr_16,Gerente,Logistica,Indefinido,5/15/2023,2429.92,236.92,297.66,121.5,2071.5,Activo
4-721-985 DV 88,1/1/2024,PE-81-376,Empleado_Agr_17,Gerente,Logistica,Indefinido,5/15/2023,1280.85,124.88,156.9,64.04,1091.92,Activo
